Host,Time Stamp,Method,Endpoint,Protocol,Status Code,Content Size
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/jquery/jquery.min.js,HTTP/1.1,200,89476.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/aos/aos.js,HTTP/1.1,200,14690.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1,200,84378.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/js/main.js,HTTP/1.1,200,6330.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/hero.html,HTTP/1.1,200,6789.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/about.html,HTTP/1.1,200,2729.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/faq.html,HTTP/1.1,200,4212.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/contact.html,HTTP/1.1,200,5487.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/images/api_br.png,HTTP/1.1,200,1629.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/images/api_y.png,HTTP/1.1,200,1636.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/images/api_g.png,HTTP/1.1,200,1588.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/images/api_p.png,HTTP/1.1,200,1642.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/images/India_Map.png,HTTP/1.1,200,153088.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/icofont/fonts/icofont.woff2,HTTP/1.1,200,537868.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/images/image1.jpg,HTTP/1.1,200,442343.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/boxicons/fonts/boxicons.woff2,HTTP/1.1,200,93260.0
10.180.6.83,14/Feb/2023:13:29:58,GET,/assets/vendor/remixicon/remixicon.woff2?t=1590207869815,HTTP/1.1,200,125268.0
10.180.6.83,14/Feb/2023:13:29:59,GET,/assets/img/favicon.png,HTTP/1.1,200,491.0
10.180.6.83,14/Feb/2023:13:30:20,GET,/,HTTP/1.1,200,5952.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/venobox/venobox.css,HTTP/1.1,200,20309.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/boxicons/css/boxicons.min.css,HTTP/1.1,200,63235.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/owl.carousel/assets/owl.carousel.min.css,HTTP/1.1,200,3351.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/remixicon/remixicon.css,HTTP/1.1,200,110438.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/icofont/icofont.min.css,HTTP/1.1,200,92208.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,200,161409.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/aos/aos.css,HTTP/1.1,200,26053.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/js/multipage.js,HTTP/1.1,200,956.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/bootstrap/js/bootstrap.bundle.min.js,HTTP/1.1,200,84378.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/css/style.css,HTTP/1.1,200,35417.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/js/jquery.js,HTTP/1.1,200,106323.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/jquery/jquery.min.js,HTTP/1.1,200,89476.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/jquery.easing/jquery.easing.min.js,HTTP/1.1,200,2532.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/php-email-form/validate.js,HTTP/1.1,200,5020.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/waypoints/jquery.waypoints.min.js,HTTP/1.1,200,9028.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/counterup/counterup.min.js,HTTP/1.1,200,2406.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/venobox/venobox.min.js,HTTP/1.1,200,15022.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/owl.carousel/owl.carousel.min.js,HTTP/1.1,200,44342.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/isotope-layout/isotope.pkgd.min.js,HTTP/1.1,200,35445.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/aos/aos.js,HTTP/1.1,200,14690.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/js/main.js,HTTP/1.1,200,6330.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/hero.html,HTTP/1.1,200,6789.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/about.html,HTTP/1.1,200,2729.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/faq.html,HTTP/1.1,200,4212.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/contact.html,HTTP/1.1,200,5487.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/images/api_br.png,HTTP/1.1,200,1629.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/images/api_y.png,HTTP/1.1,200,1636.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/images/api_g.png,HTTP/1.1,200,1588.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/images/api_p.png,HTTP/1.1,200,1642.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/images/India_Map.png,HTTP/1.1,200,153088.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/boxicons/fonts/boxicons.woff2,HTTP/1.1,200,93260.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/remixicon/remixicon.woff2?t=1590207869815,HTTP/1.1,200,125268.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/images/image1.jpg,HTTP/1.1,200,442343.0
10.180.6.83,14/Feb/2023:13:30:21,GET,/assets/vendor/icofont/fonts/icofont.woff2,HTTP/1.1,200,537868.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/,HTTP/1.1,200,5952.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/boxicons/css/boxicons.min.css,HTTP/1.1,200,63235.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/owl.carousel/assets/owl.carousel.min.css,HTTP/1.1,200,3351.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/venobox/venobox.css,HTTP/1.1,200,20309.0
10.180.6.83,14/Feb/2023:13:30:25,GET,/assets/vendor/icofont/icofont.min.css,HTTP/1.1,200,92208.0
