Host,Date,Time,Method,Endpoint,Protocol,Status Code,Content Size,No of Requests
2050150420,16-Feb-23,14:14:35,4,/api/am/devportal/v2/apis/33d6ca8b-f2c0-4aa8-801f-5999ff5a4cbc/thumbnail,HTTP/1.1,1,0,282
2050150420,16-Feb-23,14:14:38,4,/apim/devportal/site/public/dist/vendors~ApiListing~Apis~ApplicationDetails.08ac37224f0cd5518eac.bundle.js,HTTP/1.1,0,5277,282
2050150420,16-Feb-23,14:14:38,4,/apim/devportal/site/public/dist/Apis~Landing.24e9096bfcfa01d7b293.bundle.js,HTTP/1.1,0,6269,282
2050150420,16-Feb-23,14:14:38,4,/apim/devportal/site/public/dist/vendors~Apis.807bf6b9a5502492c51d.bundle.js,HTTP/1.1,0,11628,282
2050150420,16-Feb-23,14:14:38,4,/apim/devportal/site/public/dist/ProtectedApp.824ba3b4b8e9a2967729.bundle.js,HTTP/1.1,0,70556,282
2050150420,16-Feb-23,14:14:38,4,/apim/devportal/site/public/dist/Apis.6b300e16fae186a1127c.bundle.js,HTTP/1.1,0,21535,282
2050150420,16-Feb-23,14:14:38,4,/apim/devportal/site/public/dist/vendors~ProtectedApp.a1a55e633861af6d46c0.bundle.js,HTTP/1.1,0,193381,282
2050150420,16-Feb-23,14:14:38,4,/apim/devportal/site/public/dist/vendors~Apis~ApplicationDetails.6b8bb269d872c149f64e.bundle.js,HTTP/1.1,0,62785,282
2050150420,16-Feb-23,14:14:43,4,/apim/devportal/site/public/images/_favicon.ico,HTTP/1.1,0,1150,282
2050150420,16-Feb-23,14:14:43,4,/api/am/devportal/v2/apis/33d6ca8b-f2c0-4aa8-801f-5999ff5a4cbc,HTTP/1.1,0,4807,282
2050150420,16-Feb-23,14:14:43,4,/apim/devportal/site/public/dist/APIOverview.dfa68eab7c87537d270b.bundle.js,HTTP/1.1,0,10312,282
2050150420,16-Feb-23,14:14:43,4,/apim/devportal/site/public/images/leftMenuBack.png,HTTP/1.1,0,5308,282
2050150420,16-Feb-23,14:14:43,4,/apim/devportal/site/public/dist/APIComments.2d2dc404bcef1ee2cd62.bundle.js,HTTP/1.1,0,11271,282
2050150420,16-Feb-23,14:14:43,4,/apim/devportal/site/public/dist/vendors~APIDocuments~APIOverview.a3bf3e4b6a073abbdc9e.bundle.js,HTTP/1.1,0,30524,282
2050150420,16-Feb-23,14:14:43,4,/apim/devportal/site/public/images/_favicon.ico,HTTP/1.1,0,1150,282
2050150420,16-Feb-23,14:14:43,4,/api/am/devportal/v2/throttling-policies/subscription,HTTP/1.1,0,629,282
2050150420,16-Feb-23,14:14:43,4,/api/am/devportal/v2/apis/33d6ca8b-f2c0-4aa8-801f-5999ff5a4cbc/documents,HTTP/1.1,0,92,282
2050150420,16-Feb-23,14:14:43,4,/api/am/devportal/v2/throttling-policies/subscription,HTTP/1.1,0,629,282
2050150420,16-Feb-23,14:14:43,4,/api/am/devportal/v2/apis/33d6ca8b-f2c0-4aa8-801f-5999ff5a4cbc/documents,HTTP/1.1,0,92,282
2050150420,16-Feb-23,14:14:43,4,/api/am/devportal/v2/apis/33d6ca8b-f2c0-4aa8-801f-5999ff5a4cbc/comments?limit=5&offset=0,HTTP/1.1,0,101,282
2050150420,16-Feb-23,14:14:43,4,/api/am/devportal/v2/apis/33d6ca8b-f2c0-4aa8-801f-5999ff5a4cbc/thumbnail,HTTP/1.1,1,0,282
2050150420,16-Feb-23,14:14:44,4,/apim/devportal/site/public/dist/APIOverview.dfa68eab7c87537d270b.bundle.js,HTTP/1.1,0,10312,282
2050150420,16-Feb-23,14:14:44,4,/apim/devportal/site/public/dist/APIComments.2d2dc404bcef1ee2cd62.bundle.js,HTTP/1.1,0,11271,282
2050150420,16-Feb-23,14:14:44,4,/apim/devportal/site/public/dist/vendors~APIDocuments~APIOverview.a3bf3e4b6a073abbdc9e.bundle.js,HTTP/1.1,0,30524,282
